source_row_index,place_id,custom_id,embedding_row,has_embedding,embedding_text_hash,error,usage_total_tokens
55,ChIJBfdo1ZQBskAR0R28dAZ4qhY,location_55_ChIJBfdo1ZQBskAR0R28dAZ4qhY,55,True,7266efe1130d2a0b8227699692c522f0f023a2ca5e2b528d2ba82c6f4e7c78e9,,535
56,ChIJBxMMIQD_sUARHc3y7YKHajY,location_56_ChIJBxMMIQD_sUARHc3y7YKHajY,56,True,3de401a67c12fcad07725efc2a6d75dae5928e0c8c9163fee490eca9cf49a94f,,500
57,ChIJCaAQWUL_sUARUpo30LySNuo,location_57_ChIJCaAQWUL_sUARUpo30LySNuo,57,True,21ee3e2fee48aa71b5a6ca1a4a37baacf4ed9650761633349eb6303ad0003709,,502
58,ChIJDx62_lT9sUARvsiWn-iTGpE,location_58_ChIJDx62_lT9sUARvsiWn-iTGpE,58,True,74f29796967698a7a2a34d8e5ed395bd7507068622c3ddf94e2145976676c909,,525
59,ChIJF4ngJI4BskAR5_utz7rukh0,location_59_ChIJF4ngJI4BskAR5_utz7rukh0,59,True,d1053f73094e10509acc831d46cfc1373af81d20514eefc729bf306dc7d0d144,,475
60,ChIJFSycSQD5sUARO7OX1IbfPJE,location_60_ChIJFSycSQD5sUARO7OX1IbfPJE,60,True,0c770e1ae6b8d4de954a323b9dff1895114b587c01541fed8e9f6c22b6c3aef8,,456
61,ChIJGdJVdw8BskARUwMNu5SPeUE,location_61_ChIJGdJVdw8BskARUwMNu5SPeUE,61,True,190190f82c7e92afe39d17ddb5a2d5619d8b84f6af56044ae46c8c98a3d5614f,,515
62,ChIJGwGUIrD_sUAR5LsNseaLD2k,location_62_ChIJGwGUIrD_sUAR5LsNseaLD2k,62,True,71b4d6f7aabda4106465a36317b76f6fd368f24a951ffa394bed58cd3d1e7d7c,,539
63,ChIJGxdf87sFskARnANQH8qJFJM,location_63_ChIJGxdf87sFskARnANQH8qJFJM,63,True,5e2fbb5391975c08ff5bf36815112ecd850b7806a189723cacfec56fd4e174df,,533
64,ChIJH5Fm9kb_sUARgtMhm7xlLuQ,location_64_ChIJH5Fm9kb_sUARgtMhm7xlLuQ,64,True,2e7c4066cbde96ccb51fa13f51b4b25b50ed9e5024787d3b3c64e3b81be0ecc2,,490
65,ChIJIf9OrgX_sUARukgugSGdI44,location_65_ChIJIf9OrgX_sUARukgugSGdI44,65,True,2face7f61fd35091c4cca586d8ef5de8653802c81450b3ed7f9b927c5010a4c4,,479
66,ChIJIxqx7FMBskARDkQB_c9Mb58,location_66_ChIJIxqx7FMBskARDkQB_c9Mb58,66,True,ad3c60af30e5726c9f4c05c44735a4699ea6d6cd1df473424cdac4fe31eadd3f,,531
67,ChIJJXKriX3_sUARuK7-O8VNXOM,location_67_ChIJJXKriX3_sUARuK7-O8VNXOM,67,True,9b425b825de9df2f7b672c0c44cc1b9a881c915e737f51484494bb82a79abd80,,547
68,ChIJKZMo7WX_sUARcNtbMQ9JGwg,location_68_ChIJKZMo7WX_sUARcNtbMQ9JGwg,68,True,585f14fd16ea2bee7a6d4b4abe68aac2d3e5d519ed158ed0904f5b6abac4aed6,,477
69,ChIJK_Be1Wb5sUARiagDlEOYtFk,location_69_ChIJK_Be1Wb5sUARiagDlEOYtFk,69,True,8b0a4aa41873a03fb3b13d884fede2a579e33bf67168a8e64dbb86ec57c7cb3b,,490
70,ChIJKcDyPgD_sUARVbjHFftDEaM,location_70_ChIJKcDyPgD_sUARVbjHFftDEaM,70,True,43f96db74e4324559cd39825c801222d885b01634ea8092599ff07b0d71c485d,,489
71,ChIJL2dAtvr9sUARKUVmrauO6W0,location_71_ChIJL2dAtvr9sUARKUVmrauO6W0,71,True,72dc034355aaec0893414d1c8e4be194082ca816624eb793819c2875a879d15a,,539
72,ChIJLcGb3V75sUAR-XwnSwwd5_s,location_72_ChIJLcGb3V75sUAR-XwnSwwd5_s,72,True,bd47aeeed22f5aa5c886b4b137efa123d1bb0acb3ca082c5788db956c99819f9,,578
73,ChIJMaMGp_UBskARk_Sgv7IyfwY,location_73_ChIJMaMGp_UBskARk_Sgv7IyfwY,73,True,8a8458f3874f60ba3ba6eb0e7f56c7e981c1d370b78df7e4e8bd2a9434c9b608,,488
74,ChIJNdSo803_sUARbkN6vHq-atY,location_74_ChIJNdSo803_sUARbkN6vHq-atY,74,True,78f5bf394f905f5dab375c928b00e407ddcc67ac93bafde15f9e40b44581d0c8,,537
75,ChIJQ38cWWr_sUARreLEozAt1Gc,location_75_ChIJQ38cWWr_sUARreLEozAt1Gc,75,True,1ad8827b6c3ede091960a550914d86cb60f654e15a01bca14786452debdbe8ed,,506
76,ChIJRUswL8MBskARYdEfdWQT3iM,location_76_ChIJRUswL8MBskARYdEfdWQT3iM,76,True,a5ca0d23e9c146cf7f747535a0507bc21a76fcb7426cc7513a8919874a02e9a5,,489
77,ChIJRb9ySA4CskARbdC-BNCgVmE,location_77_ChIJRb9ySA4CskARbdC-BNCgVmE,77,True,840d14ca79aac1b44be1999b19e06cc2fff4f0d74c21e544975e8737c4961cf5,,552
78,ChIJS7sKTuj_sUARR72nLqCYV_U,location_78_ChIJS7sKTuj_sUARR72nLqCYV_U,78,True,9447b45a1fc2f356aacb0483238002528a633b43f4e79e78070e1ac51cf5868c,,496
79,ChIJT6nUx1v_sUARn_5ukKhK2tg,location_79_ChIJT6nUx1v_sUARn_5ukKhK2tg,79,True,d7ca52afd22afab456004b43a0b6503e30f98ae0a469f323464012680e37a338,,481
80,ChIJURjQCwADskARBt4IU61VH7U,location_80_ChIJURjQCwADskARBt4IU61VH7U,80,True,5795db88adfefa825eead8b8a579a9a3fbf4658ec1a80d1e97bab00900b82235,,464
81,ChIJVaOwJQj_sUAR9mCsbuDMwbM,location_81_ChIJVaOwJQj_sUAR9mCsbuDMwbM,81,True,2378ed87f864831157b1811d6e314d473a667b9200928e72317acf8d8ac5902b,,514
82,ChIJWQcAzA__sUARI3bsw8EYVqk,location_82_ChIJWQcAzA__sUARI3bsw8EYVqk,82,True,e28ae460bf45a73177f5dff5006266943def5929001bfd36c4d099022c1b20a2,,522
83,ChIJWyRsdh0dskARZMwC41iuejU,location_83_ChIJWyRsdh0dskARZMwC41iuejU,83,True,1fdaf56406ca58b81be37ebee0b31c6c89e0f2ca392cb309732ce275edd08de5,,437
84,ChIJX61lg_0BskARNGPUDWsLWuI,location_84_ChIJX61lg_0BskARNGPUDWsLWuI,84,True,11e65f09179066ac24b71478610379c162bece208dc74d590ce699cb3ed2b2f7,,489
85,ChIJX__g4sQBskARRf-RDSmNeIk,location_85_ChIJX__g4sQBskARRf-RDSmNeIk,85,True,537a7ddb9382d1ef798007dfd8275843f5319718cc1a871012d57cbbcac178e9,,543
86,ChIJY6N2s3sDskARZtyACK2raYI,location_86_ChIJY6N2s3sDskARZtyACK2raYI,86,True,ff3a755119a954b7654e46d2ba3ae866df003f2fb9f4ec8f266aca942142652b,,532
87,ChIJYwDLfIz_sUARXrV0ifw5Qug,location_87_ChIJYwDLfIz_sUARXrV0ifw5Qug,87,True,b4bb23dcef90f22b6e0ab051a0920b14aab367b7a9fe6dd91bf445359652b719,,515
88,ChIJZ2XGuQL_sUARu5NIVYhPT04,location_88_ChIJZ2XGuQL_sUARu5NIVYhPT04,88,True,986a250adb3b9f3092162d8d36091a4511e2ad1aa5a13049b5e5c0c7e462a1e2,,505
